feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",0.04821150855365474,0.0,0.04821150855365474,0.04821150855365474,0.0,0.26595927519532836,0.48893523318737137
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",0.04821150855365474,0.0,0.04821150855365474,0.04821150855365474,0.0,0.26595927519532836,0.48893523318737137
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",0.04743390357698289,0.0,0.04743390357698289,0.04743390357698289,0.0,0.26369149695334587,0.48893523318737137
Estradiol (ESTRA),0.04432348367029549,0.0,0.04432348367029549,0.04432348367029549,0.0,0.25731130477736,0.4878193486404116
Test z Synacthenem (L79_1),0.041990668740279936,0.0,0.041990668740279936,0.041990668740279936,0.0,0.25560140959550687,0.4878193486404116
Test z Synacthenem (L79_2),0.041990668740279936,0.0,0.041990668740279936,0.041990668740279936,0.0,0.25560140959550687,0.4878193486404116
Test z Synacthenem (L79_0),0.04043545878693624,0.0,0.04043545878693624,0.04043545878693624,0.0,0.41682837072952916,0.659676204111081
Morfologia CBC (HCT),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (HGB),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (MCH),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (MCHC),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (MCV),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
Morfologia CBC (MPV),0.03421461897356143,0.0,0.03421461897356143,0.03421461897356143,0.0,0.3980793256689868,0.6355301515066281
